Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeTuning,altitudeTuningSetpoint,xTrackError,flightDistance,flightTime,distanceToHome,missionItemIndex,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,apmSubInfo.cameraTilt,apmSubInfo.tetherTurns,apmSubInfo.lights1,apmSubInfo.lights2,apmSubInfo.pilotGain,apmSubInfo.inputHold,apmSubInfo.rollPitchToggle,apmSubInfo.rangefinderDistance,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2023-01-16 13:23:22.488,1.3,11.6,276,0.0,0.0,0.0,0.1,0.0,0.000,-0.0,-0.5,0.0,0.000,-0.518,0.000,0.0,00:00:00,0.0,0,--.--,0,0.0,50,0000:00:00,20,1,50,50,50,0,0,3.79,0,0,0,5.63,2.07,11443,--.--,36,--.--,--:--:--,1,11.66,13:23:22,16/01/23,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,3.79,--.--,7.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,22.2341815,68.9617778,42QVK 96061 58748,100.0,100.0,319.8,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1.8,-43.9,0.5,0.1,-0.1,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,61.85,21.08,--.--,0,0,0.0,0.1,0.0,0,0,0,--.--,--.--,--.--
2023-01-16 13:23:23.493,2.5,12.2,279,0.0,0.0,0.0,0.1,0.0,0.000,0.1,-0.5,0.0,0.000,-0.534,0.000,0.0,00:00:01,0.0,0,--.--,0,0.0,50,0000:00:00,20,1,50,50,50,0,0,4.10,0,0,0,5.61,2.27,11444,--.--,36,--.--,--:--:--,1,12.72,13:23:23,16/01/23,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,4.10,--.--,7.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,22.2341815,68.9617778,42QVK 96061 58748,100.0,100.0,319.8,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1.8,-43.7,0.5,-0.0,0.1,-0.1,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,61.83,21.09,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2023-01-16 13:23:24.487,-2.6,14.1,275,0.0,0.0,0.0,0.3,0.0,0.000,0.0,-0.5,0.0,0.000,-0.475,0.000,0.0,00:00:02,0.0,0,--.--,0,0.0,50,0000:00:00,20,1,50,50,50,0,0,4.10,0,0,0,5.58,2.22,11445,--.--,36,--.--,--:--:--,1,12.39,13:23:24,16/01/23,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,4.10,--.--,7.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,22.2341815,68.9617778,42QVK 96061 58748,100.0,100.0,319.8,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1.9,-43.6,0.5,-0.1,0.3,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,61.81,21.09,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2023-01-16 13:23:25.482,-7.6,10.6,270,0.0,0.0,0.0,0.5,0.0,0.000,-0.0,-0.5,0.0,0.000,-0.506,0.000,0.0,00:00:03,0.0,0,--.--,0,0.0,75,0000:00:00,20,1,50,50,50,0,0,3.85,0,0,0,5.55,2.41,11445,--.--,36,--.--,--:--:--,1,13.38,13:23:25,16/01/23,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,3.85,--.--,7.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,22.2341815,68.9617778,42QVK 96061 58748,100.0,100.0,319.8,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1.9,-43.2,0.5,-0.1,0.5,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,61.79,21.09,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2023-01-16 13:23:26.482,-8.8,11.4,269,0.0,0.0,0.0,0.4,0.0,0.000,-0.1,-0.5,0.0,0.000,-0.518,0.000,0.0,00:00:04,0.0,0,--.--,0,0.0,75,0000:00:00,20,1,50,50,50,0,0,3.87,0,0,0,5.53,2.38,11446,--.--,36,--.--,--:--:--,1,13.16,13:23:26,16/01/23,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,3.87,--.--,7.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,22.2341815,68.9617778,42QVK 96061 58748,100.0,100.0,319.8,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1.9,-43.1,0.5,0.0,0.4,0.1,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,61.77,21.08,--.--,0,0,0.1,0.1,0.0,0,0,0,--.--,--.--,--.--
2023-01-16 13:23:27.482,-6.8,11.8,269,0.0,0.0,0.0,0.2,0.0,0.000,-0.0,-0.5,0.0,0.000,-0.525,0.000,0.0,00:00:05,0.0,0,--.--,0,0.0,75,0000:00:00,20,1,50,50,50,0,0,4.04,0,0,0,5.51,2.32,11447,--.--,36,--.--,--:--:--,1,12.79,13:23:27,16/01/23,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,4.04,--.--,7.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,22.2341815,68.9617778,42QVK 96061 58748,100.0,100.0,319.8,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1.9,-43.0,0.5,-0.1,0.2,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,61.75,21.09,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2023-01-16 13:23:28.482,-7.0,11.5,270,0.0,0.0,0.0,0.1,0.0,0.000,-0.0,-0.6,0.0,0.000,-0.507,0.000,0.0,00:00:06,0.0,0,--.--,0,0.0,25,0000:00:00,20,1,50,50,50,0,0,4.03,0,0,0,5.49,2.43,11447,--.--,36,--.--,--:--:--,1,13.34,13:23:28,16/01/23,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,4.03,--.--,7.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,22.2341815,68.9617778,42QVK 96061 58748,100.0,100.0,319.8,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1.9,-42.9,0.5,-0.0,0.1,0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,61.73,21.08,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
2023-01-16 13:23:29.483,-6.2,11.3,270,0.0,0.0,0.0,0.3,0.0,0.000,0.0,-0.6,0.0,0.000,-0.590,0.000,0.0,00:00:07,0.0,0,--.--,0,0.0,55,0000:00:00,20,1,50,50,50,0,0,3.82,0,0,0,5.47,2.52,11448,--.--,36,--.--,--:--:--,1,13.78,13:23:29,16/01/23,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,3.82,--.--,7.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,22.2341815,68.9617778,42QVK 96061 58748,100.0,100.0,319.8,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-2.0,-42.5,0.6,-0.1,0.3,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,61.71,21.08,--.--,0,0,0.1,0.0,0.0,0,0,0,--.--,--.--,--.--
2023-01-16 13:23:30.482,-7.8,12.8,268,0.0,0.0,0.0,0.6,0.0,0.000,0.0,-0.6,0.0,0.000,-0.616,0.000,0.0,00:00:08,0.0,0,--.--,0,0.0,25,0000:00:00,20,1,50,50,50,0,0,3.63,0,0,0,5.46,2.29,11449,--.--,36,--.--,--:--:--,1,12.50,13:23:30,16/01/23,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,3.63,--.--,7.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,22.2341815,68.9617778,42QVK 96061 58748,100.0,100.0,319.8,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-2.2,-41.9,0.6,-0.2,0.6,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,61.69,21.08,--.--,0,0,0.1,0.1,0.0,0,0,0,--.--,--.--,--.--
2023-01-16 13:23:31.482,-9.2,10.6,269,0.0,0.0,0.0,0.6,0.0,0.000,-0.1,-0.7,0.0,0.000,-0.678,0.000,0.0,00:00:09,0.0,0,--.--,0,0.0,75,0000:00:00,20,1,50,50,50,0,0,3.71,0,0,0,5.44,2.43,11449,--.--,36,--.--,--:--:--,1,13.22,13:23:31,16/01/23,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,3.71,--.--,7.00,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,22.2341815,68.9617778,42QVK 96061 58748,100.0,100.0,319.8,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-2.3,-41.4,0.7,-0.1,0.6,0.1,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,61.67,21.07,--.--,0,0,0.0,0.0,0.0,0,0,0,--.--,--.--,--.--
